"multiplets","pos_in_ppm","TITLE.mixed_bloods_1","TITLE.mixed_bloods_2"
"Alanine","1.46","n","n"
"Alanine","3.76","n","n"
"Ethanol","1.17","n","n"
"Glucose","3.517","n","n"
"Glucose","3.533","n","n"
"Glycine","3.549","n","n"
"Histidine","7.085","n","n"
"Histidine","7.86","n","n"
"Isoleucine","0.99","n","n"
"Isoleucine","0.927","n","n"
"Isoleucine","3.66","n","n"
"Lactate","1.32","n","n"
"Lactate","4.1","n","n"
"Leucine","0.956","n","n"
"Leucine","0.944","n","n"
"Phenylalanine","7.32","n","n"
"Tyrosine","7.18","n","n"
"Tyrosine","6.88","n","n"
"Valine","1.03","n","n"
"Valine","0.976","n","n"
"Valine","3.598","n","n"
"TSP","0","n","n"
