Multiplet	TITLE mixed_bloods_1	TITLE mixed_bloods_2
Alanine_1.460	0.009361	-0.009976
Alanine_3.760	0.008685	0.00058
Ethanol_1.170	0.009908	0.007045
Glucose_3.517	-0.007484	0.007036
Glucose_3.533	-0.008354	-0.00111
Glycine_3.549	-0.004378	0.001661
Histidine_7.085	-0.00901	-0.009979
Isoleucine_0.990	0.003017	0.003652
Isoleucine_0.927	-0.009978	-0.009861
Isoleucine_3.660	0.00517	0.005404
Lactate_1.320	-0.001541	-0.001865
Lactate_4.100	0.005413	0.002457
Leucine_0.956	0.006234	0.004365
Leucine_0.944	0.002587	0.002046
Phenylalanine_7.320	0.002812	-0.00042
Tyrosine_7.180	0.001381	0.00049
Tyrosine_6.880	-0.008065	0.000831
Valine_1.030	-0.00745	-0.006582
Valine_0.976	-0.004977	-0.004779
Valine_3.598	0.008092	-0.008532
TSP_0.000	0.000489	-0.000424
