Metabolite	TITLE mixed_bloods_1	TITLE mixed_bloods_2
Alanine	2.0670172688372e-05	1.4346280147303e-05
Ethanol	2.71066429383194e-05	8.149067348953e-06
Glucose	0.000180191929225769	0.00017869943568403
Glycine	9.29586119248435e-05	0.000139346392237278
Histidine	2.97160012114615e-05	3.07603494742999e-05
Isoleucine	0.000121754046675855	8.96014315589876e-05
Lactate	1.54648316527733e-05	1.63938262878601e-05
Leucine	4.13988657477837e-05	3.12734729904859e-05
Phenylalanine	3.08696795290433e-06	1.79098060075842e-06
Tyrosine	2.11977540355559e-06	1.05687980006244e-06
Valine	0.000110669008372892	7.85913540160742e-05
TSP	0.000104094154569317	0.000158601657705894
