Metabolite	TITLE mixed_bloods_1	TITLE mixed_bloods_1	TITLE mixed_bloods_2	TITLE mixed_bloods_2
Percentage	2.5%	97.5%	2.5%	97.5%
Alanine	1.98054876460072e-05	2.11271714362303e-05	1.37797584546098e-05	1.45965582176497e-05
Ethanol	2.58318836735887e-05	2.78582148187024e-05	6.23730870806245e-06	9.58371086365982e-06
Glucose	0.000179600986393005	0.000180994912446046	0.000177761086789087	0.000179683535562344
Glycine	9.13422039869143e-05	9.38344340345562e-05	0.000137582515348561	0.000140649164452022
Histidine	2.78024019153691e-05	3.26823303523579e-05	2.95690488623735e-05	3.26071794502512e-05
Isoleucine	0.000120930102509083	0.000123071097594987	8.9072950740876e-05	9.03068505987269e-05
Lactate	1.41274709366149e-05	1.64836469816852e-05	1.52438028699967e-05	1.688924488858e-05
Leucine	4.02058151609501e-05	4.24899823553419e-05	3.08204148916623e-05	3.15365556470605e-05
Phenylalanine	7.29047454724176e-07	5.38538547842285e-06	7.45151798859501e-07	2.53112863823175e-06
Tyrosine	1.59735666776598e-06	2.54003307696352e-06	5.4560743285014e-08	1.65424219464582e-06
Valine	0.000109573060343975	0.000112226941648331	7.80197543444814e-05	7.9575819402614e-05
TSP	0.000103911096459781	0.000104305915905413	0.000158470797797938	0.000158648141935804
