ppm 	 Original spectrum 	 Metabolites fit 	 Wavelet fit 	 Overall fit
7.399963 	 0.000798 	 0.000002 	 0.000794 	 0.000796
7.399504 	 0.000784 	 0.000002 	 0.000787 	 0.000789
7.399046 	 0.000789 	 0.000002 	 0.000784 	 0.000786
7.398587 	 0.000760 	 0.000002 	 0.000746 	 0.000748
7.398129 	 0.000714 	 0.000002 	 0.000710 	 0.000713
7.397670 	 0.000681 	 0.000002 	 0.000679 	 0.000681
7.397212 	 0.000647 	 0.000002 	 0.000651 	 0.000653
7.396753 	 0.000599 	 0.000002 	 0.000607 	 0.000609
7.396295 	 0.000581 	 0.000002 	 0.000580 	 0.000582
7.395836 	 0.000590 	 0.000002 	 0.000583 	 0.000585
7.395378 	 0.000620 	 0.000002 	 0.000609 	 0.000611
7.394919 	 0.000670 	 0.000002 	 0.000661 	 0.000663
7.394461 	 0.000723 	 0.000002 	 0.000719 	 0.000721
7.394002 	 0.000741 	 0.000002 	 0.000738 	 0.000740
7.393544 	 0.000748 	 0.000002 	 0.000751 	 0.000753
7.393085 	 0.000798 	 0.000002 	 0.000805 	 0.000807
7.392627 	 0.000893 	 0.000002 	 0.000894 	 0.000896
7.392168 	 0.001025 	 0.000002 	 0.001021 	 0.001023
7.391710 	 0.001170 	 0.000002 	 0.001165 	 0.001167
7.391251 	 0.001287 	 0.000002 	 0.001286 	 0.001289
7.390793 	 0.001378 	 0.000002 	 0.001384 	 0.001386
7.390334 	 0.001476 	 0.000002 	 0.001488 	 0.001490
7.389876 	 0.001554 	 0.000002 	 0.001557 	 0.001560
7.389417 	 0.001540 	 0.000002 	 0.001521 	 0.001524
7.388959 	 0.001429 	 0.000002 	 0.001415 	 0.001418
7.388500 	 0.001315 	 0.000003 	 0.001317 	 0.001319
7.388042 	 0.001256 	 0.000003 	 0.001253 	 0.001255
7.387583 	 0.001262 	 0.000003 	 0.001246 	 0.001249
7.387125 	 0.001242 	 0.000003 	 0.001236 	 0.001239
7.386666 	 0.001166 	 0.000003 	 0.001175 	 0.001178
7.386208 	 0.001108 	 0.000003 	 0.001105 	 0.001108
7.385749 	 0.001058 	 0.000003 	 0.001039 	 0.001042
7.385291 	 0.000949 	 0.000003 	 0.000944 	 0.000947
7.384832 	 0.000829 	 0.000003 	 0.000840 	 0.000842
7.384374 	 0.000784 	 0.000003 	 0.000783 	 0.000786
7.383915 	 0.000854 	 0.000003 	 0.000845 	 0.000848
7.383457 	 0.000933 	 0.000003 	 0.000936 	 0.000938
7.382998 	 0.000956 	 0.000003 	 0.000956 	 0.000959
7.382540 	 0.000938 	 0.000003 	 0.000935 	 0.000938
7.382081 	 0.000907 	 0.000003 	 0.000899 	 0.000902
7.381623 	 0.000861 	 0.000003 	 0.000859 	 0.000862
7.381164 	 0.000841 	 0.000003 	 0.000844 	 0.000848
7.380706 	 0.000856 	 0.000003 	 0.000860 	 0.000863
7.380247 	 0.000886 	 0.000003 	 0.000888 	 0.000892
7.379789 	 0.000942 	 0.000003 	 0.000936 	 0.000940
7.379330 	 0.001034 	 0.000003 	 0.001025 	 0.001029
7.378872 	 0.001123 	 0.000003 	 0.001116 	 0.001120
7.378413 	 0.001145 	 0.000003 	 0.001138 	 0.001141
7.377955 	 0.001139 	 0.000003 	 0.001135 	 0.001138
7.377496 	 0.001175 	 0.000003 	 0.001175 	 0.001178
7.377038 	 0.001237 	 0.000003 	 0.001229 	 0.001233
7.376579 	 0.001269 	 0.000004 	 0.001259 	 0.001262
7.376121 	 0.001257 	 0.000004 	 0.001253 	 0.001257
7.375662 	 0.001199 	 0.000004 	 0.001196 	 0.001200
7.375204 	 0.001103 	 0.000004 	 0.001105 	 0.001109
7.374745 	 0.001005 	 0.000004 	 0.001003 	 0.001006
7.374287 	 0.000906 	 0.000004 	 0.000900 	 0.000904
7.373828 	 0.000829 	 0.000004 	 0.000823 	 0.000826
7.373370 	 0.000767 	 0.000004 	 0.000766 	 0.000769
7.372911 	 0.000699 	 0.000004 	 0.000711 	 0.000715
7.372453 	 0.000687 	 0.000004 	 0.000688 	 0.000692
7.371994 	 0.000713 	 0.000004 	 0.000696 	 0.000700
7.371536 	 0.000702 	 0.000004 	 0.000693 	 0.000697
7.371077 	 0.000673 	 0.000004 	 0.000680 	 0.000684
7.370619 	 0.000718 	 0.000004 	 0.000714 	 0.000719
7.370160 	 0.000798 	 0.000004 	 0.000776 	 0.000781
7.369702 	 0.000840 	 0.000004 	 0.000827 	 0.000832
7.369243 	 0.000861 	 0.000005 	 0.000858 	 0.000862
7.368785 	 0.000872 	 0.000005 	 0.000872 	 0.000877
7.368326 	 0.000895 	 0.000005 	 0.000890 	 0.000895
7.367868 	 0.000903 	 0.000005 	 0.000900 	 0.000905
7.367409 	 0.000866 	 0.000005 	 0.000871 	 0.000876
7.366951 	 0.000854 	 0.000005 	 0.000850 	 0.000855
7.366493 	 0.000896 	 0.000005 	 0.000896 	 0.000901
7.366034 	 0.000967 	 0.000005 	 0.000961 	 0.000967
7.365576 	 0.000982 	 0.000005 	 0.000970 	 0.000976
7.365117 	 0.000944 	 0.000005 	 0.000939 	 0.000945
7.364659 	 0.000895 	 0.000005 	 0.000886 	 0.000892
7.364200 	 0.000820 	 0.000006 	 0.000819 	 0.000825
7.363742 	 0.000787 	 0.000006 	 0.000783 	 0.000788
7.363283 	 0.000763 	 0.000006 	 0.000758 	 0.000764
7.362825 	 0.000740 	 0.000006 	 0.000733 	 0.000739
7.362366 	 0.000729 	 0.000006 	 0.000714 	 0.000720
7.361908 	 0.000716 	 0.000006 	 0.000701 	 0.000707
7.361449 	 0.000706 	 0.000006 	 0.000700 	 0.000707
7.360991 	 0.000719 	 0.000007 	 0.000722 	 0.000728
7.360532 	 0.000773 	 0.000007 	 0.000776 	 0.000783
7.360074 	 0.000889 	 0.000007 	 0.000885 	 0.000892
7.359615 	 0.001046 	 0.000007 	 0.001036 	 0.001043
7.359157 	 0.001199 	 0.000007 	 0.001186 	 0.001193
7.358698 	 0.001374 	 0.000007 	 0.001368 	 0.001375
7.358240 	 0.001646 	 0.000008 	 0.001642 	 0.001650
7.357781 	 0.001960 	 0.000008 	 0.001953 	 0.001960
7.357323 	 0.002276 	 0.000008 	 0.002262 	 0.002270
7.356864 	 0.002532 	 0.000008 	 0.002524 	 0.002532
7.356406 	 0.002664 	 0.000008 	 0.002657 	 0.002666
7.355947 	 0.002725 	 0.000009 	 0.002718 	 0.002727
7.355489 	 0.002804 	 0.000009 	 0.002802 	 0.002810
7.355030 	 0.002886 	 0.000009 	 0.002869 	 0.002878
7.354572 	 0.002892 	 0.000009 	 0.002867 	 0.002876
7.354113 	 0.002791 	 0.000010 	 0.002783 	 0.002792
7.353655 	 0.002625 	 0.000010 	 0.002623 	 0.002633
7.353196 	 0.002414 	 0.000010 	 0.002413 	 0.002423
7.352738 	 0.002210 	 0.000010 	 0.002195 	 0.002205
7.352279 	 0.001990 	 0.000011 	 0.001973 	 0.001983
7.351821 	 0.001795 	 0.000011 	 0.001783 	 0.001795
7.351362 	 0.001636 	 0.000012 	 0.001634 	 0.001645
7.350904 	 0.001521 	 0.000012 	 0.001511 	 0.001523
7.350445 	 0.001448 	 0.000012 	 0.001431 	 0.001444
7.349987 	 0.001455 	 0.000013 	 0.001450 	 0.001462
7.349528 	 0.001528 	 0.000013 	 0.001514 	 0.001528
7.349070 	 0.001550 	 0.000014 	 0.001524 	 0.001538
7.348611 	 0.001508 	 0.000014 	 0.001495 	 0.001509
7.348153 	 0.001464 	 0.000015 	 0.001447 	 0.001462
7.347694 	 0.001446 	 0.000015 	 0.001427 	 0.001442
7.347236 	 0.001538 	 0.000016 	 0.001531 	 0.001548
7.346777 	 0.001727 	 0.000017 	 0.001715 	 0.001732
7.346319 	 0.001895 	 0.000017 	 0.001879 	 0.001897
7.345860 	 0.002056 	 0.000018 	 0.002037 	 0.002056
7.345402 	 0.002228 	 0.000019 	 0.002201 	 0.002220
7.344943 	 0.002373 	 0.000020 	 0.002347 	 0.002367
7.344485 	 0.002479 	 0.000021 	 0.002466 	 0.002487
7.344026 	 0.002574 	 0.000022 	 0.002564 	 0.002586
7.343568 	 0.002669 	 0.000023 	 0.002644 	 0.002667
7.343109 	 0.002722 	 0.000024 	 0.002689 	 0.002713
7.342651 	 0.002694 	 0.000026 	 0.002674 	 0.002700
7.342192 	 0.002649 	 0.000027 	 0.002627 	 0.002654
7.341734 	 0.002592 	 0.000028 	 0.002559 	 0.002587
7.341275 	 0.002484 	 0.000030 	 0.002448 	 0.002478
7.340817 	 0.002306 	 0.000032 	 0.002273 	 0.002305
7.340358 	 0.002094 	 0.000034 	 0.002066 	 0.002100
7.339900 	 0.001877 	 0.000036 	 0.001848 	 0.001884
7.339441 	 0.001699 	 0.000039 	 0.001652 	 0.001691
7.338983 	 0.001550 	 0.000042 	 0.001502 	 0.001544
7.338524 	 0.001419 	 0.000045 	 0.001384 	 0.001429
7.338066 	 0.001337 	 0.000048 	 0.001297 	 0.001345
7.337607 	 0.001278 	 0.000052 	 0.001224 	 0.001275
7.337149 	 0.001204 	 0.000056 	 0.001143 	 0.001199
7.336690 	 0.001118 	 0.000061 	 0.001056 	 0.001117
